From	To
Q00266	MAT1A
Q8NB16	MLKL
O94851	MICAL2
Q8TDZ2	MICAL1
Q9NPJ6	MED4
Q8N635	MEIOB
O15553	MEFV
Q8NCK7	SLC16A11
Q9HD23	MRS2
Q9NYP9	MIS18A
Q96H12	MSANTD3
Q86VF5	MOGAT3
Q13724	MOGS
P45452	MMP13
Q9BXB5	OSBPL10
A0A024RBG1	NUDT4B
Q8NH64	OR51A7
Q96DL1	NXPE2
Q9ULW8	PADI3
P18669	PGAM1
Q9NUG6	PDRG1
Q86VZ1	P2RY8
O60437	PPL
Q9NY27	PPP4R2
Q8NDH3	NPEPL1
Q5H9R7	PPP6R3
Q5JTB6	PLAC9
Q8NE79	BVES
Q6DJT9	PLAG1
Q8WVI7	PPP1R1C
D3DTV9	PRAC2
Q8WUA2	PPIL4
Q8NCQ7	PROCA1
O15067	PFAS
P12272	PTHLH
O43242	PSMD3
Q16557	PSG3
Q9BTD8	RBM42
P20340	RAB6A
Q6VN20	RANBP10
Q9NP90	RAB9B
Q14964	RAB39A
Q9H2M9	RAB3GAP2
O43502	RAD51C
O95716	RAB3D
P04049	RAF1
Q92928	RAB1C
Q9ULI2	RIMKLB
Q9Y6G3	MRPL42
P62277	RPS13
Q8IZC4	RTKN2
P19793	RXRA
P21453	S1PR1
O95977	S1PR4
Q14D33	RTP5
Q92503	SEC14L1
Q9NV23	OLAH
P18405	SRD5A1
Q9Y6R1	SLC4A4
Q96FV2	SCRN2
A0A286YF77	SCYGR6
P02743	APCS
Q1RMZ1	BMT2
P35498	SCN1A
Q9Y6X1	SERP1
A3KN83	SBNO1
O15041	SEMA3E
Q15428	SF3A2
Q92599	SEPTIN8
Q8IYM1	SEPTIN12
Q9NPE6	SPAG4
Q9Y6H5	SNCAIP
Q9H3E2	SNX25
Q5SQN1	SNAP47
Q9Y5X3	SNX5
Q16533	SNAPC1
G3V0H7	SLCO1B7
O15524	SOCS1
Q4ZJI4	SLC9B1
Q9UNP4	ST3GAL5
Q9BUA3	SPINDOC
P28370	SMARCA1
O00141	SGK1
O95475	SIX6
Q6S5L8	SHC4
Q9Y6E7	SIRT4
P0DMR2	SCGB1C2
Q9UPU9	SAMD4A
Q96IW2	SHD
B4DS77	SHISA9
P30872	SSTR1
P32745	SSTR3
Q9C0K7	STRADB
Q15562	TEAD2
P05543	SERPINA7
Q9BXT4	TDRD1
Q5T9Z0	TEDDM1
Q8IY51	TIGD4
Q9UQP3	TNN
Q86W33	TPRA1
O95259	KCNH1
A0A075B6H7	IGKV3-7
O43300	LRRTM2
Q9UI95	MAD2L2
Q9UPY8	MAPRE3
Q7Z6M3	MILR1
O14880	MGST3
Q9BQP7	MGME1
Q8NHS3	MFSD8
Q9UH92	MLX
Q8NCR3	MFI
Q8NGF4	OR5AP2
Q8NGZ9	OR2T10
O75147	OBSL1
Q86WC4	OSTM1
Q96RD7	PANX1
Q9UN66	PCDHB8
Q9Y5E7	PCDHB2
A0A0B4J2A2	PPIAL4C
Q9Y5E5	PCDHB4
Q15072	ZNF146
O15460	P4HA2
O15018	PDZD2
O15547	P2RX6
O43692	PI15
Q8NBT0	POC1A
O00444	PLK4
Q7RTY7	OVCH1
Q8TC44	POC1B
O00329	PIK3CD
Q8TEQ8	PIGO
Q9NZF1	PLAC8
Q99575	POP1
Q6UQ28	PLET1
Q14765	STAT4
Q15527	SURF2
P62753	RPS6
Q5VU36	SPATA31A5
P55809	OXCT1
Q8IWL1	SFTPA2
A8K8P3	SFI1
Q15459	SF3A1
A0A1B0GUW6	SPEM3
O94991	SLITRK5
Q0P670	SPEM2
Q8N9S9	SNX31
O94993	SOX30
Q9P0Z9	PIPOX
Q6IQ16	SPOPL
P55000	SLURP1
O15370	SOX12
Q9BWM7	SFXN3
Q9BQB4	SOST
Q13296	SCGB2A2
Q15797	SMAD1
Q6PI26	SHQ1
Q9NRF2	SH2B1
Q9H4F8	SMOC1
Q13309	SKP2
B8ZZ34	SHISA8
P12755	SKI
Q8N7X2	STPG3
Q8TDW4	ST7L
P63272	SUPT4H1
P61011	SRP54
Q8WVM7	STAG1
Q9NRC1	ST7
Q96JX3	SERAC1
Q5VSL9	STRIP1
P23327	HRC
Q8TE77	SSH3
Q9UHV2	SERTAD1
P49588	AARS1
Q2MJR0	SPRED3
Q9HCS7	XAB2
P21980	TGM2
Q86YL5	TDRP
Q01664	TFAP4
Q6IPX3	TCEAL6
Q9GZM7	TINAGL1
P23193	TCEA1
Q96A09	TENT5B
P40227	CCT6A
Q8TBB0	THAP6
P57082	TBX4
Q9UL17	TBX21
Q9UKZ4	TENM1
Q8WWU5	TCP11
P08582	MELTF
Q96NL1	TMEM74
Q5JTD0	TJAP1
Q9BZD7	PRRG3
P0DTU4	TRB
O94811	TPPP
P0CI26	TRIM49C
Q9BZY9	TRIM31
Q12933	TRAF2
Q6ZTA4	TRIM67
Q6AZZ1	TRIM68
Q9C040	TRIM2
P31314	TLX1
Q9Y275	TNFSF13B
Q5BJD5	TMEM41B
Q8NCS4	TMEM35B
Q8N661	TMEM86B
O43763	TLX2
Q9NPI0	TMEM138
Q8N616	LINC00311
Q6PF06	TRMT10B
Q8WUB8	PHF10
Q86T03	PIP4P1
Q86SH4	PRNT
P13727	PRG2
Q86WR7	PROSER2
P23942	PRPH2
Q9UBK2	PPARGC1A
P48634	PRRC2A
Q96QH2	PRAM1
Q5JSZ5	PRRC2B
Q96MI6	PPM1M
P48651	PTDSS1
P49810	PSEN2
P28827	PTPRM
P15151	PVR
Q92878	RAD50
P35243	RCVRN
Q9BWF3	RBM4
P61026	RAB10
Q4ADV7	RIC1
P40938	RFC3
Q8IUC4	RHPN2
Q9BRR9	ARHGAP9
Q9Y644	RFNG
P00797	REN
P48380	RFX3
Q5VT52	RPRD2
Q6ZR62	RTL4
P0CK97	SLC35E2A
P06703	S100A6
Q9UHW9	SLC12A6
P09661	SNRPA1
Q9Y267	SLC22A14
Q8N4F4	SLC22A24
Q9Y3D9	MRPS23
Q9BZJ4	SLC25A39
Q13433	SLC39A6
Q9BYL1	SAMD10
P82675	MRPS5
Q96LT4	SAMD8
Q9BY50	SEC11C
Q9NQW1	SEC31B
Q9UN30	SCML1
Q15437	SEC23B
P50454	SERPINH1
Q93073	SECISBP2L
O15127	SCAMP2
P0DME0	SETSIP
Q01105	SET
O75880	SCO1
A0A494C0Z2	SPDYE13
Q9HD40	SEPSECS
Q969T3	SNX21
O43290	SART1
Q53GS9	USP39
Q9UNH6	SNX7
Q92925	SMARCD2
Q5SXM2	SNAPC4
P0C7P3	SLFN14
Q9UJ37	ST6GALNAC2
Q86VZ5	SGMS1
Q13342	SP140
P48764	SLC9A3
Q9Y2E8	SLC9A8
O95470	SGPL1
Q08648	SPAG11B
O15266	SHOX
Q96HU1	SGSM3
Q9NUL5	SHFL
Q8N5H7	SH2D3C
Q96Q15	SMG1
K7EJ46	SMIM22
Q8N412	STPG2
Q96SB8	SMC6
Q9BRV3	SLC50A1
P49888	SULT1E1
O00338	SULT1C2
Q9ULZ2	STAP1
Q96FJ0	STAMBPL1
Q92537	SUSD6
P46977	STT3A
Q96DR4	STARD4
O95793	STAU1
O15400	STX7
P16949	STMN1
Q8IUH8	SPPL2C
Q96BD6	SPSB1
A7MD48	SRRM4
O94901	SUN1
Q9GZT4	SRR
Q16559	TAL2
Q8TBP0	TBC1D16
P19532	TFE3
Q9GZN2	TGIF2
Q8IYQ7	THNSL1
A6NMZ5	OR4C45
Q8NGJ6	OR51A4
Q8NH90	OR5AK2
Q8N2R0	OSR2
Q99983	OMD
Q9BVI0	PHF20
P27918	CFP
Q9NWT1	PAK1IP1
P50897	PPT1
O75400	PRPF40A
P78395	PRAME
P28070	PSMB4
Q8WY54	PPM1E
Q9Y520	PRRC2C
Q7Z4L9	PPP1R42
Q9NQW5	PRDM7
P26022	PTX3
Q3KNS1	PTCHD3
Q9UL46	PSME2
Q15008	PSMD6
Q96D15	RCN3
Q9H4I0	RAD21L1
Q8IY67	RAVER1
P18754	RCC1
Q15283	RASA2
Q9NS23	RASSF1
Q14644	RASA3
Q96JH8	RADIL
A4D1S5	RAB19
Q70E73	RAPH1
P51157	RAB28
Q96QF0	RAB3IP
O94762	RECQL5
Q15286	RAB35
P57735	RAB25
O75783	RHBDL1
Q7L804	RAB11FIP2
Q06141	REG3A
Q15493	RGN
Q8N392	ARHGAP18
Q8NC24	RELL2
Q96EH5	RPL39L
Q99729	HNRNPAB
Q8WVD3	RNF138
P34096	RNASE4
O60930	RNASEH1
Q96A37	RNF166
Q5VTB9	RNF220
P52434	POLR2H
P09001	MRPL3
Q7Z7H8	MRPL10
